,Index,Price_Gradient,Price,CH_Gradient,CH,lof
0,2017-12-01 00:02:00,-9.999999999954491e-06,1.19213,-4.176392654154981e-06,0.00015444402183878452,3.8452133109118223
6,2017-12-01 00:08:00,0.000260000000000038,1.19181,4.724094769671254e-06,0.00014822123861035503,20.23467507428536
12,2017-12-01 00:14:00,0.00020500000000001076,1.19191,1.8542062044420125e-05,0.00015830207012191918,4.819301614506769
18,2017-12-01 00:20:00,-5.4999999999916234e-05,1.1916,-4.455675531483872e-06,0.00013651791774491647,10.413081352169186
24,2017-12-01 00:26:00,-5.000000000032756e-06,1.19185,-3.053692316635212e-06,0.0001311916826250576,4.752864188216503
30,2017-12-01 00:32:00,-1.9999999999908983e-05,1.19145,-6.811607544241228e-06,0.00012663130707229542,4.139203269474278
36,2017-12-01 00:38:00,0.000260000000000038,1.19133,1.2581503318795071e-06,0.0001267766947195218,4.123572153437376
42,2017-12-01 00:44:00,1.9999999999908983e-05,1.1913200000000002,-5.291850314801766e-07,0.0001327548169876009,4.561510308732838
48,2017-12-01 00:50:00,-0.00012500000000004174,1.19108,-3.057078424857125e-06,0.00010707539767871347,5.413896778192796
54,2017-12-01 00:56:00,-0.00014500000000006177,1.1909999999999998,-2.537126914190474e-06,0.0001198269263266343,4.0
60,2017-12-01 01:02:00,0.0004050000000000997,1.19221,3.658559402836616e-05,0.0001656627458610365,4.169308363964425
66,2017-12-01 01:08:00,-9.9999999999989e-05,1.19201,-4.582334899910976e-06,0.0002404045966179088,3.8452133109118223
72,2017-12-01 01:14:00,0.00016500000000008178,1.19277,3.470962777687689e-05,0.0003033179634984186,3.8439056735530093
78,2017-12-01 01:20:00,2.0000000000020002e-05,1.19288,-1.1527874911017468e-05,0.0002310939643830724,4.891478668578908
84,2017-12-01 01:26:00,-4.9999999999994487e-05,1.19357,4.389291605474362e-06,0.0001884903995641054,5.08303927719664
90,2017-12-01 01:32:00,-4.9999999999994487e-05,1.19298,3.3898356823079086e-05,0.00017245089634941385,3.8439056735530093
96,2017-12-01 01:38:00,-8.000000000008001e-05,1.19362,-1.4484177709346037e-06,0.0002561994168548372,4.371612435446755
102,2017-12-01 01:44:00,-4.0000000000040004e-05,1.19327,1.1551915945250525e-05,0.0002596446257941994,4.794898318424934
108,2017-12-01 01:50:00,0.00019000000000002348,1.19327,-4.7436104229973107e-07,0.00020346548463868832,6.404723405317429
114,2017-12-01 01:56:00,4.9999999999994487e-05,1.19294,-2.7282464847338194e-07,0.00018097393814413916,5.050627780919346
120,2017-12-01 02:02:00,-7.500000000004725e-05,1.19269,-7.225496200893227e-06,0.00013456257406408933,9.784578680599077
126,2017-12-01 02:08:00,-5.500000000002725e-05,1.19251,-2.123198096768691e-06,0.00013202435100602498,4.887888275207159
132,2017-12-01 02:14:00,-7.000000000012553e-05,1.19238,-8.056092110854809e-06,0.00014385056137657131,5.70394950951442
138,2017-12-01 02:20:00,-0.00017500000000003624,1.19214,1.309639992951332e-06,0.00013209479988376513,11.076232700297187
144,2017-12-01 02:26:00,-9.9999999999989e-05,1.19204,-6.926328619417004e-06,0.0001444102330823761,4.137897514076825
150,2017-12-01 02:32:00,-9.499999999995624e-05,1.1918799999999998,-7.435407609592914e-06,0.00013577584099960463,4.230968043885698
156,2017-12-01 02:38:00,-4.499999999996174e-05,1.19125,4.717095493879909e-06,0.00013223809385560944,3.7181576203746136
162,2017-12-01 02:44:00,-0.0002449999999999397,1.19111,6.976922577050361e-06,0.00010581527081928612,3.7181576203746136
168,2017-12-01 02:50:00,-0.00033499999999997415,1.19075,1.1054267069397042e-06,0.0001407185715564549,4.223438490193956
174,2017-12-01 02:56:00,-3.500000000011827e-05,1.19052,-9.059140199517724e-06,0.0001866436953321072,4.0
180,2017-12-01 03:02:00,-2.9999999999974488e-05,1.19028,-4.211262961938876e-06,0.00015660859540667953,3.882274321089464
186,2017-12-01 03:08:00,0.0,1.19036,1.0073078419209558e-05,0.00014815978929886748,4.1520723279509895
192,2017-12-01 03:14:00,2.5000000000052758e-05,1.18991,1.2037714694697865e-05,0.0001759792437754012,4.398898146613172
198,2017-12-01 03:20:00,0.0001949999999999452,1.19058,8.291901160165728e-07,0.0001361465136984263,5.2510339053181605
204,2017-12-01 03:26:00,1.0000000000065512e-05,1.19057,-7.336460136148137e-06,0.00014441923241948564,4.0
210,2017-12-01 03:32:00,2.0000000000020002e-05,1.19089,-6.279124919355357e-06,0.00012604350042139567,4.67107926610562
216,2017-12-01 03:38:00,2.0000000000020002e-05,1.1904,-1.3569395815596152e-06,0.00012811602956962323,3.965224509326639
222,2017-12-01 03:44:00,-0.00027999999999994696,1.18995,2.1524754961673454e-05,0.00011697181693236904,7.576026766612348
228,2017-12-01 03:50:00,-0.00024999999999997247,1.18925,5.8302916468027275e-06,0.00022304137048609584,4.167706036530709
234,2017-12-01 03:56:00,-4.500000000007276e-05,1.18887,-1.1220903240220309e-05,0.00019116007601524199,6.6404279717117145
240,2017-12-01 04:02:00,4.9999999999994487e-05,1.18931,-2.660244259571653e-06,0.0001677107504767641,4.230983647823964
246,2017-12-01 04:08:00,2.0000000000020002e-05,1.18982,-6.641001323725423e-06,0.00013204525442787196,5.409230251462043
252,2017-12-01 04:14:00,-2.499999999994173e-05,1.19016,-3.3591801308181183e-06,0.00012978789244628158,5.403531447273218
258,2017-12-01 04:20:00,0.00017000000000000348,1.1901700000000002,2.4947656666135466e-07,0.00010863373375589175,4.420663069880008
264,2017-12-01 04:26:00,6.500000000009276e-05,1.19,2.5512612147632764e-06,0.00014045724750174843,3.94347199261696
270,2017-12-01 04:32:00,2.499999999994173e-05,1.18996,-4.886005599735045e-06,0.00011334933651685491,4.0
276,2017-12-01 04:38:00,-1.5000000000098266e-05,1.18998,-3.940203800802358e-06,8.45849316857967e-05,4.323907818939413
282,2017-12-01 04:44:00,-2.9999999999974488e-05,1.18995,-5.047301716341346e-06,9.841706323590798e-05,4.0
288,2017-12-01 04:50:00,2.0000000000020002e-05,1.18987,6.210517839971834e-06,0.000113637288340627,6.161051949496914
294,2017-12-01 04:56:00,3.999999999992898e-05,1.19021,-4.416849576059467e-06,0.00015302282463812035,6.097965617379463
300,2017-12-01 05:02:00,-0.0001100000000000545,1.18956,2.4911128327212207e-06,0.00013016214676433334,3.5451403529554657
306,2017-12-01 05:08:00,3.5000000000007254e-05,1.18961,-5.354556356610233e-06,0.00010756407108942916,3.6519651837331213
312,2017-12-01 05:14:00,7.999999999996898e-05,1.18958,-7.475027849450345e-06,0.00013841028441169629,5.43127610449684
318,2017-12-01 05:20:00,-4.999999999921734e-06,1.18955,-5.875054533317404e-06,0.00011614005313339731,3.994325073860595
324,2017-12-01 05:26:00,4.499999999996174e-05,1.18957,7.541621295832438e-07,0.0001248746534488381,2.9061978765781418
330,2017-12-01 05:32:00,0.00014999999999998348,1.18943,1.100865696966127e-05,0.00011987876746123923,4.3497210707518885
336,2017-12-01 05:38:00,5.000000000032756e-06,1.1898799999999998,-3.283924977536184e-06,0.00010349712777727402,5.921661771570281
342,2017-12-01 05:44:00,0.000160000000000049,1.19013,1.2686184919360708e-05,9.940374761126773e-05,3.8693410767448335
348,2017-12-01 05:50:00,0.0001100000000000545,1.1897799999999998,4.05699530710023e-06,0.00013072326649114628,4.96077322022903
354,2017-12-01 05:56:00,-0.000260000000000038,1.18928,5.124142529556287e-06,0.0001174338155949429,5.557384965893422
